COUNTRY,SPI_SCORE,SCORE
Ethiopia,47.43,0.279247794974205
Madagascar,47.07,0.273256781494425
Mali,46.93,0.270926942918955
Angola,46.87,0.269928440672325
Guinea-Bissau,46.65,0.266267265768015
Mauritania,46.6,0.26543518056249
Equatorial Guinea,46.58,0.26510234648028
Haiti,45.42,0.245797969712099
Sudan,45.41,0.245631552670993
Niger,43.14,0.207854884340156
Burundi,42.91,0.204027292394741
"Congo, Democratic Republic of",42.7,0.200532534531536
Guinea,42.41,0.195706440339491
Yemen,39.08,0.140289565651523
Afghanistan,37.34,0.111333000499251
Somalia,35.85,0.0865368613746048
Eritrea,34.85,0.0698951572641039
Chad,34.69,0.0672324846064237
Central African Republic,32.39,0.0289565651522716
South Sudan,30.65,0
